case_id,case_name,particle_diameter,particle_radius,N_target,target_fractal_dimension,r_sigma_mult,realization,random_seed,max_try,csv_file,sys_file,vtk_file
70,case_070_dp2_N100_Df2.6_rep01,2.0,1.0,100,2.6,5.0,1,1098,200,case_070_dp2_N100_Df2.6_rep01/particles.csv,case_070_dp2_N100_Df2.6_rep01/particles.sys,case_070_dp2_N100_Df2.6_rep01/particles.vtk
71,case_071_dp2_N100_Df2.6_rep02,2.0,1.0,100,2.6,5.0,2,1099,200,case_071_dp2_N100_Df2.6_rep02/particles.csv,case_071_dp2_N100_Df2.6_rep02/particles.sys,case_071_dp2_N100_Df2.6_rep02/particles.vtk
72,case_072_dp2_N100_Df2.6_rep03,2.0,1.0,100,2.6,5.0,3,1100,200,case_072_dp2_N100_Df2.6_rep03/particles.csv,case_072_dp2_N100_Df2.6_rep03/particles.sys,case_072_dp2_N100_Df2.6_rep03/particles.vtk
73,case_073_dp2_N200_Df1.8_rep01,2.0,1.0,200,1.8,12.0,1,1101,200,case_073_dp2_N200_Df1.8_rep01/particles.csv,case_073_dp2_N200_Df1.8_rep01/particles.sys,case_073_dp2_N200_Df1.8_rep01/particles.vtk
74,case_074_dp2_N200_Df1.8_rep02,2.0,1.0,200,1.8,12.0,2,1102,200,case_074_dp2_N200_Df1.8_rep02/particles.csv,case_074_dp2_N200_Df1.8_rep02/particles.sys,case_074_dp2_N200_Df1.8_rep02/particles.vtk
75,case_075_dp2_N200_Df1.8_rep03,2.0,1.0,200,1.8,12.0,3,1103,200,case_075_dp2_N200_Df1.8_rep03/particles.csv,case_075_dp2_N200_Df1.8_rep03/particles.sys,case_075_dp2_N200_Df1.8_rep03/particles.vtk
76,case_076_dp2_N200_Df2.2_rep01,2.0,1.0,200,2.2,8.0,1,1104,200,case_076_dp2_N200_Df2.2_rep01/particles.csv,case_076_dp2_N200_Df2.2_rep01/particles.sys,case_076_dp2_N200_Df2.2_rep01/particles.vtk
77,case_077_dp2_N200_Df2.2_rep02,2.0,1.0,200,2.2,8.0,2,1105,200,case_077_dp2_N200_Df2.2_rep02/particles.csv,case_077_dp2_N200_Df2.2_rep02/particles.sys,case_077_dp2_N200_Df2.2_rep02/particles.vtk
78,case_078_dp2_N200_Df2.2_rep03,2.0,1.0,200,2.2,8.0,3,1106,200,case_078_dp2_N200_Df2.2_rep03/particles.csv,case_078_dp2_N200_Df2.2_rep03/particles.sys,case_078_dp2_N200_Df2.2_rep03/particles.vtk
79,case_079_dp2_N200_Df2.6_rep01,2.0,1.0,200,2.6,5.0,1,1107,200,case_079_dp2_N200_Df2.6_rep01/particles.csv,case_079_dp2_N200_Df2.6_rep01/particles.sys,case_079_dp2_N200_Df2.6_rep01/particles.vtk
80,case_080_dp2_N200_Df2.6_rep02,2.0,1.0,200,2.6,5.0,2,1108,200,case_080_dp2_N200_Df2.6_rep02/particles.csv,case_080_dp2_N200_Df2.6_rep02/particles.sys,case_080_dp2_N200_Df2.6_rep02/particles.vtk
81,case_081_dp2_N200_Df2.6_rep03,2.0,1.0,200,2.6,5.0,3,1109,200,case_081_dp2_N200_Df2.6_rep03/particles.csv,case_081_dp2_N200_Df2.6_rep03/particles.sys,case_081_dp2_N200_Df2.6_rep03/particles.vtk
