case,n,group,target,box_dimension,hull_porosity,box_quality,box_grid_sd,rg_over_d,log_rg,contacts,asphericity,lambda2_over_lambda1,lambda3_over_lambda1,leaf_fraction,branch_fraction,degree_std,mean_graph_distance,neighbors_1p5d,neighbors_2d,local_density_cv,core_shell_density_difference
fractal_dp2_N0200_Df2.2_kf1.1_rep04,200,fractal_dp2_N0200_Df2.2_kf1.1_rep04,0.5382373046875,2.0665182330433787,0.8800950266873587,ok,0.036457740492533086,5.307934794616712,1.669202832034431,199,0.2755517620127922,0.2524500776415365,0.21184921513632643,0.375,0.3,0.9326842981416594,18.253517587939697,4.14,8.65,0.37563360441340915,2.719753086419754
fractal_dp2_N0200_Df2.2_kf1.1_rep05,200,fractal_dp2_N0200_Df2.2_kf1.1_rep05,0.5425439453125,2.0180922448139422,0.8859703448491537,ok,0.03228593068376911,5.30793048141359,1.6692020194387525,199,0.22117745224394925,0.31300447154992667,0.23606408768631804,0.35,0.29,0.8887631855561974,22.065075376884423,3.94,8.45,0.34232699796735455,0.10246679316888052
fractal_dp2_N0200_Df2.6_kf0.8_rep01,200,fractal_dp2_N0200_Df2.6_kf0.8_rep01,0.46573974609375,2.1845193767361546,0.8246151727219911,ok,0.06108776349211045,4.162758002331114,1.4261778359277333,199,0.09805304537358916,0.48516423253831287,0.3701322147643904,0.395,0.305,0.9746281342132495,17.474070351758794,4.5,10.54,0.34258752094375733,4.584868421052631
fractal_dp2_N0200_Df2.6_kf0.8_rep02,200,fractal_dp2_N0200_Df2.6_kf0.8_rep02,0.45849853515625,2.1597528491018263,0.81643793445642,ok,0.05898034405723292,4.162777651381276,1.4261825561165546,199,0.12471070489976621,0.43980131326452954,0.32736092427862906,0.405,0.305,0.9999499987499374,21.030653266331658,4.76,10.94,0.35125295968182735,5.264957264957264
fractal_dp2_N0200_Df2.6_kf0.8_rep03,200,fractal_dp2_N0200_Df2.6_kf0.8_rep03,0.46237060546875,2.209851566324099,0.8187710365048815,ok,0.04888529715652809,4.162769579555558,1.4261806170666653,199,0.1071517373995553,0.5120481530422892,0.3271890772141435,0.375,0.265,0.9848350115628505,19.90859296482412,4.77,10.61,0.3374372753136007,4.16715542521994
fractal_dp2_N0200_Df2.6_kf0.8_rep04,200,fractal_dp2_N0200_Df2.6_kf0.8_rep04,0.46239501953125,2.1575568694036504,0.8172463301242385,ok,0.0666354284517733,4.162764583848014,1.4261794169736872,199,0.1211923919289436,0.4273069456328661,0.3460415053513702,0.38,0.285,0.9643132271207316,21.403065326633165,4.66,10.71,0.33982182285291346,3.5347985347985347
fractal_dp2_N0200_Df2.6_kf0.8_rep05,200,fractal_dp2_N0200_Df2.6_kf0.8_rep05,0.46331298828125,2.1717340431915195,0.8206490569924675,ok,0.07646917379220625,4.162767924475895,1.4261802194755997,199,0.1155883217885213,0.48317881315010625,0.32177648825461724,0.395,0.29,0.9999499987499374,19.402462311557787,4.62,10.74,0.346168420893058,2.4727564102564106
fractal_dp2_N0500_Df1.8_kf1.3_rep01,500,fractal_dp2_N0500_Df1.8_kf1.3_rep01,0.58958203125,1.8521701146758331,0.9677188952279443,ok,0.0341832081439843,13.643348091411543,2.6132520835418136,499,0.5475092189702544,0.12331469149552567,0.08687127223067867,0.34,0.28,0.8899348290745789,46.56534669338677,3.688,7.312,0.3605593107014106,0.6233082023798708
fractal_dp2_N0500_Df1.8_kf1.3_rep02,500,fractal_dp2_N0500_Df1.8_kf1.3_rep02,0.60116015625,1.8004145201394373,0.9695582350298183,ok,0.038335805505133005,13.643372090144556,2.6132538425464027,499,0.42734477144825644,0.2646362200708161,0.05266663634463024,0.332,0.288,0.8625450712861329,49.988344689378756,3.584,7.192,0.32806978703444944,0.9710244912038632
fractal_dp2_N0500_Df1.8_kf1.3_rep03,500,fractal_dp2_N0500_Df1.8_kf1.3_rep03,0.5991201171875,1.792248331646267,0.9683716698502648,ok,0.04132134103128072,13.643354467555486,2.6132525508862225,499,0.5506953749427106,0.15328565332784605,0.057450544243850786,0.318,0.266,0.8555606349055571,58.293298597194386,3.552,7.192,0.3240377890614088,0.7101706619315378
fractal_dp2_N0500_Df1.8_kf1.3_rep04,500,fractal_dp2_N0500_Df1.8_kf1.3_rep04,0.6048466796875,1.8149609909917361,0.9719596708959133,ok,0.03944364741507904,13.643371746780595,2.6132538173793134,499,0.46806279894635583,0.1474971077620792,0.11951909837153415,0.302,0.264,0.8197463022179483,54.920809619238476,3.54,7.14,0.3553229845337375,0.9837115790908468
fractal_dp2_N0500_Df1.8_kf1.3_rep05,500,fractal_dp2_N0500_Df1.8_kf1.3_rep05,0.5856689453125,1.8303908220741762,0.9674909074047586,ok,0.02467713543945693,13.6433535753564,2.6132524854918127,499,0.4858473124575904,0.16836952075484451,0.08710264642472551,0.312,0.276,0.82944800922059,49.398164328657316,3.624,7.188,0.3530668829862594,0.5693277310924367
fractal_dp2_N0500_Df2.2_kf1.1_rep01,500,fractal_dp2_N0500_Df2.2_kf1.1_rep01,0.487404296875,2.0907786984850074,0.9113955278325473,ok,0.049334394965556624,8.06229937877365,2.087198798559417,499,0.2475630418824456,0.4193277448185872,0.1272212039257106,0.358,0.276,0.940204233132355,33.86282164328657,4.068,8.8,0.33817082093556117,1.1579664570230612
fractal_dp2_N0500_Df2.2_kf1.1_rep02,500,fractal_dp2_N0500_Df2.2_kf1.1_rep02,0.480818359375,2.095888752191264,0.9083340511596675,ok,0.028591068596965627,8.062303643740647,2.087199327560595,499,0.2810746975243421,0.33984942466239854,0.13584560863791584,0.352,0.276,0.9295073964202759,36.4892745490982,4.1,8.908,0.3636129391949793,1.5243881856540096
fractal_dp2_N0500_Df2.2_kf1.1_rep03,500,fractal_dp2_N0500_Df2.2_kf1.1_rep03,0.4866826171875,2.046729754559978,0.9198806250439913,ok,0.028285682949780164,8.062296356735933,2.087198423723636,499,0.12772658610036058,0.5261290867387173,0.26963448450312216,0.37,0.298,0.9359401690279138,38.54353507014028,3.98,8.74,0.346596949053483,-1.4360465116279073
fractal_dp2_N0500_Df2.2_kf1.1_rep04,500,fractal_dp2_N0500_Df2.2_kf1.1_rep04,0.4756240234375,2.0802764117678882,0.9172776193329722,ok,0.043909707237549736,8.062303871843909,2.087199355853161,499,0.27696421490351075,0.297184700033515,0.17187210665066863,0.372,0.296,0.9444490457404252,43.38452104208417,4.044,8.94,0.33325825318432295,1.5035173160173176
fractal_dp2_N0500_Df2.2_kf1.1_rep05,500,fractal_dp2_N0500_Df2.2_kf1.1_rep05,0.4784716796875,2.088502129548678,0.9090868608735646,ok,0.033451275227322115,8.062299164825221,2.087198772022517,499,0.3618960881964354,0.19075468539515997,0.17108900108591185,0.366,0.276,0.954978533790158,41.404537074148294,3.972,8.488,0.3668871445571936,0.9046446164672766
fractal_dp2_N0500_Df2.6_kf0.8_rep01,500,fractal_dp2_N0500_Df2.6_kf0.8_rep01,0.38462890625,2.290301923432303,0.8410541718512012,ok,0.03596514644518588,5.93451725477948,1.7807856860473903,499,0.12459666623008492,0.6063431082244731,0.24546174201657522,0.376,0.28,0.979787732113441,35.7691623246493,4.612,10.892,0.3322010023851842,1.2860300618921308
fractal_dp2_N0500_Df2.6_kf0.8_rep02,500,fractal_dp2_N0500_Df2.6_kf0.8_rep02,0.3872646484375,2.2409498464335442,0.8497977022995604,ok,0.03767543817354334,5.934519192338098,1.7807860125370134,499,0.10698614265572304,0.5920006372105139,0.2913773862989139,0.372,0.278,0.9736446990560776,27.84696593186373,4.688,10.832,0.3142074108747701,2.5048872180451127
