a,b,n,matching_distance,delta_exposure,abs_delta_exposure,both_box_quality_ok,delta_box_dimension,delta_hull_porosity,delta_log_rg,delta_asphericity,delta_lambda2_over_lambda1,delta_lambda3_over_lambda1,delta_leaf_fraction,delta_branch_fraction,delta_degree_std,delta_mean_graph_distance,delta_neighbors_1p5d,delta_neighbors_2d,delta_local_density_cv,delta_core_shell_density_difference
fractal_dp1_N0200_Df1.8_kf1.3_rep02,fractal_dp2_N0200_Df1.8_kf1.3_rep03,200,0.5290979593726068,-0.00636474609375004,0.00636474609375004,True,-0.007817538660437773,-0.0030672185388557205,-4.178746952909762e-07,-0.050449636878724724,0.16856735576942133,-0.06679439822322591,-0.050000000000000044,-0.024999999999999967,-0.09076148636112291,3.8538190954773874,0.2400000000000002,0.2599999999999998,0.006143403200151831,-0.18247863247863272
fractal_dp1_N0200_Df1.8_kf1.3_rep05,fractal_dp2_N0200_Df1.8_kf1.3_rep02,200,0.2565618839254503,-0.0011083984374999911,0.0011083984374999911,True,-0.007277329171628377,0.0017618391260616484,-3.2901913344929312e-06,0.02099266852575543,0.0006685392907389842,-0.021525818930565904,-0.004999999999999949,0.0,-0.013132263568606306,1.188592964824121,0.06999999999999984,0.1299999999999999,0.007434195570663105,2.4139733882890555
fractal_dp1_N0200_Df2.2_kf1.1_rep02,fractal_dp2_N0200_Df2.2_kf1.1_rep05,200,0.9629362383679682,-0.004099121093749991,0.004099121093749991,True,0.0046252575641263505,-0.004768264148334533,1.6409058842814517e-06,0.019720922228292914,-0.031614189656026914,-0.0060501148466267085,0.0,0.009999999999999953,-0.01672011081099678,-1.8236180904522605,0.08000000000000007,-0.120000000000001,-0.024540900224920614,-1.5641998734977864
fractal_dp1_N0200_Df2.2_kf1.1_rep03,fractal_dp2_N0200_Df2.2_kf1.1_rep04,200,0.30996253697008835,-0.0012573242187500222,0.0012573242187500222,True,-0.010204131150537865,-0.001114134256122723,2.2410249143067773e-06,0.06896616306485281,-0.0854895998368132,-0.027079699756356795,-0.0050000000000000044,0.019999999999999962,-0.05721468660375384,-1.777587939698492,0.09999999999999964,0.5,0.044402070997627885,0.9463043129709803
fractal_dp1_N0200_Df2.2_kf1.1_rep04,fractal_dp1_N0200_Df2.2_kf1.1_rep05,200,0.23174682812089709,0.008664550781250058,0.008664550781250058,True,-0.008830656089646283,-0.0009591091007659092,-1.1609664174461187e-06,-0.10615336737744108,0.08526271999712737,0.045440003398127815,0.06,0.034999999999999976,0.10290570132534915,-2.91,-0.13999999999999968,0.0,-0.007698997911489147,-3.0149675593223986
fractal_dp1_N0500_Df1.8_kf1.3_rep01,fractal_dp2_N0500_Df1.8_kf1.3_rep03,500,0.04218363900182086,0.0024833984375000062,0.0024833984375000062,True,-0.0025084749264290274,0.0008132115785653982,3.7273873143561786e-07,0.01858600688239531,-0.0029020294673369196,-0.009160328747915523,0.016000000000000014,0.0,0.03825775347175231,1.980553106212426,-0.028000000000000025,-0.08399999999999963,-0.002123073306441292,0.07302832549997174
fractal_dp1_N0500_Df1.8_kf1.3_rep03,fractal_dp1_N0500_Df1.8_kf1.3_rep05,500,0.03568494429990284,0.0048876953124999956,0.0048876953124999956,True,-0.0037613723513647557,-8.87608283358654e-05,6.979187849864843e-08,-0.03796090197676294,-0.01769005315534808,0.04389708993911795,-0.018000000000000016,0.0020000000000000018,-0.05089728521852477,5.959775551102204,-0.2200000000000002,-0.2840000000000007,0.018656181074130862,-0.568647166955536
fractal_dp1_N0500_Df1.8_kf1.3_rep04,fractal_dp2_N0500_Df1.8_kf1.3_rep01,500,0.0225789198563172,-0.008269531250000073,0.008269531250000073,True,0.0009737885661056378,0.0007107787881546201,1.8233198506578674e-07,0.12228095116831328,-0.13379014565702052,0.027092507655130264,0.03400000000000003,0.02400000000000002,0.05328436442401774,-6.869306613226456,0.16800000000000015,0.2840000000000007,0.006859411952909067,-0.12756899060258586
fractal_dp1_N0500_Df2.2_kf1.1_rep01,fractal_dp1_N0500_Df2.2_kf1.1_rep02,500,0.15633217957397405,0.010000976562499986,0.010000976562499986,True,0.005286850753848604,0.0014701632761389138,-1.409000853769271e-07,-0.009076283794218765,0.004394789678926647,0.010068526723810228,0.026000000000000023,0.011999999999999955,0.04629147616848772,-2.9074709418837656,0.020000000000000462,0.21199999999999974,0.007387702599937984,-0.5747737111373485
fractal_dp1_N0500_Df2.2_kf1.1_rep03,fractal_dp2_N0500_Df2.2_kf1.1_rep03,500,0.18467407906749186,-0.0009287109375000213,0.0009287109375000213,True,-0.008492784866228398,-0.0003299845491608888,-8.157701154587471e-07,-0.02875731527519443,0.02292326811744827,0.047738250438354446,0.02799999999999997,0.021999999999999964,0.03262184196928497,-5.199414829659318,0.05600000000000005,0.14000000000000057,-0.0066312293593926985,-1.420241913926759
fractal_dp1_N0500_Df2.2_kf1.1_rep04,fractal_dp2_N0500_Df2.2_kf1.1_rep04,500,0.3654320999785263,-0.005574218750000026,0.005574218750000026,True,0.008071989799524726,0.0022502197207686647,4.151065136070997e-07,0.06504174804629315,-0.14535415075777353,0.009732780590904211,0.0,-0.008000000000000007,0.010648210444161421,5.908248496993984,-0.16000000000000014,0.11999999999999922,-0.020723001688404852,0.11259815765629888
fractal_dp1_N0500_Df2.6_kf0.8_rep01,fractal_dp2_N0500_Df2.6_kf0.8_rep04,500,0.06993385973545124,-0.004074218750000025,0.004074218750000025,True,0.005283795298888894,5.865744497723924e-05,-2.6331654279232453e-06,-0.0055668757973178495,0.041272548842512746,0.00037030684905531297,0.01200000000000001,-0.006000000000000005,0.05090860901568228,0.544048096192391,0.10800000000000054,0.26399999999999935,-0.0010464301236235984,0.28498699368264546
